Twiddle,Step,Kp,Ki,Kd,angle,cte,d_error,i_error,
0,0,0.140427,0,2.8306,-1.4753,0.5711,0.0011,58.5079,
0,0,0.140427,0,2.8306,-1.6773,0.5646,-0.0088,59.079,
0,0,0.140427,0,2.8306,-0.9459,0.5595,-0.0065,59.6436,
0,0,0.140427,0,2.8306,-0.9459,0.5595,-0.0051,60.2031,
0,0,0.140427,0,2.8306,-1.167,0.5552,0,60.7626,
0,0,0.140427,0,2.8306,-1.5279,0.5515,-0.0043,61.3178,
0,0,0.140427,0,2.8306,-1.2085,0.5483,-0.0037,61.8693,
0,0,0.140427,0,2.8306,-1.238,0.5455,-0.0032,62.4176,
0,0,0.140427,0,2.8306,-1.2621,0.543,-0.0028,62.9631,
0,0,0.140427,0,2.8306,-1.2806,0.5406,-0.0025,63.5061,
0,0,0.140427,0,2.8306,-1.2806,0.5406,-0.0024,64.0467,
0,0,0.140427,0,2.8306,-1.2917,0.5382,0,64.5873,
0,0,0.140427,0,2.8306,-1.4615,0.5356,-0.0024,65.1255,
0,0,0.140427,0,2.8306,-1.2833,0.5329,-0.0026,65.6611,
0,0,0.140427,0,2.8306,-1.26,0.5299,-0.0027,66.194,
0,0,0.140427,0,2.8306,-1.26,0.5299,-0.003,66.7239,
0,0,0.140427,0,2.8306,-1.2117,0.5268,0,67.2538,
0,0,0.140427,0,2.8306,-1.424,0.5235,-0.0031,67.7806,
0,0,0.140427,0,2.8306,-1.1937,0.5199,-0.0033,68.3041,
0,0,0.140427,0,2.8306,-1.1937,0.5199,-0.0036,68.824,
0,0,0.140427,0,2.8306,-1.1341,0.5162,0,69.3439,
0,0,0.140427,0,2.8306,-1.3889,0.5123,-0.0037,69.8601,
0,0,0.140427,0,2.8306,-1.114,0.5081,-0.0039,70.3724,
0,0,0.140427,0,2.8306,-1.0862,0.5038,-0.0042,70.8805,
0,0,0.140427,0,2.8306,-1.0502,0.4993,-0.0043,71.3843,
0,0,0.140427,0,2.8306,-1.0502,0.4993,-0.0045,71.8836,
0,0,0.140427,0,2.8306,-0.9981,0.4946,0,72.3829,
0,0,0.140427,0,2.8306,-1.3165,0.4896,-0.0047,72.8775,
0,0,0.140427,0,2.8306,-0.9675,0.4845,-0.005,73.3671,
0,0,0.140427,0,2.8306,-0.9287,0.4791,-0.0051,73.8516,
0,0,0.140427,0,2.8306,-0.9037,0.4736,-0.0054,74.3307,
0,0,0.140427,0,2.8306,-0.9037,0.4736,-0.0055,74.8043,
0,0,0.140427,0,2.8306,-0.8371,0.4678,0,75.2779,
0,0,0.140427,0,2.8306,-1.2263,0.4618,-0.0058,75.7457,
0,0,0.140427,0,2.8306,-0.7955,0.4556,-0.006,76.2075,
0,0,0.140427,0,2.8306,-0.7603,0.4492,-0.0062,76.6631,
0,0,0.140427,0,2.8306,-0.7244,0.4426,-0.0064,77.1123,
0,0,0.140427,0,2.8306,-0.6878,0.3991,-0.0066,77.5549,
0,0,0.140427,0,2.8306,-0.6504,0.3912,-0.0435,77.954,
0,0,0.140427,0,2.8306,2.1135,0.3838,-0.0079,78.3452,
0,0,0.140427,0,2.8306,-0.378,0.3763,-0.0074,78.729,
0,0,0.140427,0,2.8306,-0.3874,0.3686,-0.0075,79.1053,
0,0,0.140427,0,2.8306,-0.354,0.3607,-0.0077,79.4739,
0,0,0.140427,0,2.8306,-0.3128,0.3527,-0.0079,79.8346,
0,0,0.140427,0,2.8306,-0.2709,0.3445,-0.008,80.1873,
0,0,0.140427,0,2.8306,-0.2358,0.3362,-0.0082,80.5318,
0,0,0.140427,0,2.8306,-0.2358,0.3362,-0.0083,80.868,
0,0,0.140427,0,2.8306,-0.1566,0.3278,0,81.2042,
0,0,0.140427,0,2.8306,-0.744,0.3191,-0.0084,81.532,
0,0,0.140427,0,2.8306,-0.12,0.3103,-0.0087,81.8511,
0,0,0.140427,0,2.8306,-0.0683,0.3014,-0.0088,82.1614,
0,0,0.140427,0,2.8306,-0.0303,0.2924,-0.0089,82.4628,
0,0,0.140427,0,2.8306,0.008,0.2833,-0.009,82.7552,
0,0,0.140427,0,2.8306,0.0467,0.2741,-0.0091,83.0385,
0,0,0.140427,0,2.8306,0.0857,0.2649,-0.0092,83.3126,
0,0,0.140427,0,2.8306,0.0857,0.2649,-0.0092,83.5775,
0,0,0.140427,0,2.8306,0.1574,0.2557,0,83.8424,
0,0,0.140427,0,2.8306,-0.4936,0.2462,-0.0092,84.0981,
0,0,0.140427,0,2.8306,0.1897,0.2367,-0.0095,84.3443,
0,0,0.140427,0,2.8306,0.2443,0.2272,-0.0095,84.581,
0,0,0.140427,0,2.8306,0.2776,0.2176,-0.0095,84.8082,
0,0,0.140427,0,2.8306,0.2776,0.2176,-0.0096,85.0258,
0,0,0.140427,0,2.8306,0.3518,0.2081,0,85.2434,
0,0,0.140427,0,2.8306,-0.3276,0.1984,-0.0095,85.4515,
0,0,0.140427,0,2.8306,0.378,0.1887,-0.0097,85.6499,
0,0,0.140427,0,2.8306,0.4262,0.1791,-0.0097,85.8386,
0,0,0.140427,0,2.8306,0.4603,0.1695,-0.0096,86.0177,
0,0,0.140427,0,2.8306,0.4869,0.1599,-0.0096,86.1872,
0,0,0.140427,0,2.8306,0.5206,0.1504,-0.0096,86.3471,
0,0,0.140427,0,2.8306,0.5206,0.1504,-0.0095,86.4975,
0,0,0.140427,0,2.8306,0.5806,0.141,0,86.6479,
0,0,0.140427,0,2.8306,-0.0917,0.1315,-0.0094,86.7889,
0,0,0.140427,0,2.8306,0.6065,0.1222,-0.0095,86.9204,
0,0,0.140427,0,2.8306,0.6469,0.1129,-0.0093,87.0426,
0,0,0.140427,0,2.8306,0.6469,0.1129,-0.0093,87.1555,
0,0,0.140427,0,2.8306,0.6981,0.1038,0,87.2684,
0,0,0.140427,0,2.8306,0.04,0.0946,-0.0091,87.3722,
0,0,0.140427,0,2.8306,0.7159,0.0856,-0.0092,87.4668,
0,0,0.140427,0,2.8306,0.7553,0.0767,-0.009,87.5524,
0,0,0.140427,0,2.8306,0.7727,0.068,-0.0089,87.6291,
0,0,0.140427,0,2.8306,0.7969,0.0595,-0.0087,87.6971,
0,0,0.140427,0,2.8306,0.7969,0.0595,-0.0085,87.7566,
0,0,0.140427,0,2.8306,0.8289,0.0512,0,87.8161,
0,0,0.140427,0,2.8306,0.2274,0.043,-0.0083,87.8673,
0,0,0.140427,0,2.8306,0.8439,0.035,-0.0082,87.9103,
0,0,0.140427,0,2.8306,0.8656,0.0272,-0.008,87.9453,
0,0,0.140427,0,2.8306,0.8796,0.0197,-0.0078,87.9725,
0,0,0.140427,0,2.8306,0.8928,0.0124,-0.0075,87.9922,
0,0,0.140427,0,2.8306,0.8979,-0.0013,-0.0073,88.0046,
0,0,0.140427,0,2.8306,0.9094,-0.0078,-0.0137,88.0033,
0,0,0.140427,0,2.8306,1.4104,-0.0137,-0.0065,87.9955,
0,0,0.140427,0,2.8306,1.4104,-0.0137,-0.0059,87.9818,
0,0,0.140427,0,2.8306,0.9019,-0.0194,0,87.9681,
0,0,0.140427,0,2.8306,0.4844,-0.0249,-0.0057,87.9487,
0,0,0.140427,0,2.8306,0.9078,-0.03,-0.0055,87.9238,
0,0,0.140427,0,2.8306,0.913,-0.0348,-0.0051,87.8938,
0,0,0.140427,0,2.8306,0.9026,-0.0392,-0.0048,87.859,
0,0,0.140427,0,2.8306,0.9026,-0.0392,-0.0044,87.8198,
0,0,0.140427,0,2.8306,0.8853,-0.0433,0,87.7806,
0,0,0.140427,0,2.8306,0.574,-0.0471,-0.0041,87.7373,
